genero;titulo;autor;fecha
Videojuegos;Primeros detalles e imágenes de Etrian Odyssey X;goruni;20/04/2018
Anime;Disponible en Amazon Prime el primer episodio de Wotaku ni Koi wa Muzukashii;Ruisu;20/04/2018
Videojuegos;Disgaea 1 Complete llegará a Nintendo Switch y PlayStation 4 este otoño;goruni;20/04/2018
Live-action;Nuevo tráiler del live-action de Bleach;Corj;20/04/2018
Manga;Minetarô Mochizuki lanzará un manga de Isla de perros de Wes Anderson;Serra;20/04/2018
Eventos;Have a Nice Day de Liu Jian en el FANT Bilbao;Serra;20/04/2018
Anime;Anunciado el staff y el casting del anime de Muhyo to Rouji;Ruisu;20/04/2018
Anime;El anime de Ore ga Suki nano wa Imōto dakedo Imōto ja nai se estrenará en octubre de 2018;Ruisu;20/04/2018
Manga;El manga de Ayanashi finalizará en junio;Ruisu;20/04/2018
Manga;El manga de High School DxD finalizará con 11 tomos;Ruisu;19/04/2018
Manga;La autora Tarako Kotobuki ilustra la novela Call Me by Your Name;Serra;19/04/2018
Videojuegos;Mostradas nuevas imágenes del recopilatorio Shenmue I y II;goruni;19/04/2018
